title,imdb_rating,release_year,genre,duration_minutes
Gladiator,8.5,2000,Action,155
Inception,8.8,2010,Action,148
The Godfather,9.2,1972,Crime,175
Toy Story,8.3,1995,Animation,81
Interstellar,8.7,2014,Adventure,169
WALL-E,8.4,2008,Animation,98
Dune: Part Two,8.6,2024,Action,166
Barbie,6.8,2023,Adventure,114
Se7en,8.6,1995,Crime,127
Mad Max: Fury Road,8.1,2015,Action,120

